index,latitude,longitude,X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,date_updated,email,dis_status,POINT_X,POINT_Y
22,34.0744532,-118.4403575,-118.4403576,34.07445317,20960,LA City Recreation and Parks,1657735,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Murphy Sculpture Garden,,,,,,,,,,23194,,,http://egis3.lacounty.gov/lms/?p=23194,publish,2014/06/09 16:22:27+00,,,6428316.529,1849767.449
23,34.08824472,-118.2083195,-118.2083196,34.08824469,21212,LA City Recreation and Parks,1732690,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Heritage Square Park and Museum,3800 Homer St.,,Los Angeles,CA,,,,,,23464,,,http://egis3.lacounty.gov/lms/?p=23464,publish,2014/06/11 09:46:47+00,,,6498595.01,1854559.703
24,33.34379859,-118.3248675,-118.3248675,33.34379856,21837,LA County Department of Beaches and Harbors,1763262,Arts and Recreation,Museums and Aquariums,,Catalina Island Chamber of Commerce,Green Pleasure Pier,,,,,,"City of Avalon: 310-510-0220 <br>
Beaches and Harbors Visitors Center: 424-526-7900 <br>
Beaches and Harbors Main Office: 424-526-7777 <br>",http://www.catalinachamber.com/,,,24096,"<a href=""http://www.cityofavalon.com/""> Catalina Island information </a>",,http://egis3.lacounty.gov/lms/?p=24096,publish,2017/07/18 17:39:36+00,,,6462430.916,1583725.385
25,33.7527959,-118.1897902,-118.1897903,33.75279587,21895,HSIP Freedom Gnis_cultural_fe,247881,Arts and Recreation,Museums and Aquariums,,US Geological Survey (USGS) & LA County,Queen Mary,,,,,,,,,,24152,,,http://egis3.lacounty.gov/lms/?p=24152,publish,2010/11/01 19:50:56+00,,,6503974.85,1732471.195
26,34.225837,-118.0572904,-118.0572905,34.22583697,22234,HSIP Freedom Gnis_cultural_fe,1733524,Arts and Recreation,Museums and Aquariums,,US Geological Survey (USGS) & LA County,Mount Wilson Observatory,,,,,,,,,,24497,,,http://egis3.lacounty.gov/lms/?p=24497,publish,2010/11/01 19:50:56+00,,,6544352.375,1904571.628
27,34.38197972,-117.6817708,-117.6817709,34.38197969,22538,LA County Chief Information Office,273769,Arts and Recreation,Museums and Aquariums,,Jet Propulsion Laboratory,Table Mountain Observatory,24490 Table Mountain Raod,,Wrightwood,CA,"TMF is operational 24 hours a day, 365 days a year. Inclement weather and road conditions do sometimes dictate when it is safe for science customers to travel to and from the facility.","Telephone: (760)249-3650
Fax: (760)249-5392",https://tmf.jpl.nasa.gov/tmf-web/,,,24812,"<b>Table Mountain Observatory</b> (<b>TMO</b>) is an astronomical observation facility operated by NASA's Jet Propulsion Laboratory (California Institute of Technology).

TMO is part of JPL's Table Mountain Facility (TMF). The larger site hosts a number of non-astronomical projects. The site was first used by the Smithsonian Institution in 1924, which conducted atmospheric, solar, and astronomical observations for many years. JPL took over the lease in 1962. The observatory conducts high-precision astrometric observations to support NASA and international spacecraft mission navigation, confirmation and recovery of near-Earth objects such as comets and asteroids that may potentially impact the Earth, and technology development.",92397,http://egis3.lacounty.gov/lms/?p=24812,publish,2017/03/10 12:15:55+00,Pamela.C.Glatfelter@jpl.nasa.gov,,6657685.74,1961541.936
28,34.017653,-117.963017,-117.9630171,34.01765297,55941,211,,Arts and Recreation,Museums and Aquariums,,www.homesteadmuseum.org,Workman And Temple Family Homestead Museum,15415 E. Don Julian Rd.,,City of Industry,CA,"Wednesday through Sunday, 1:00pm to 5:00pm. ","Service/Intake and Administration (626) 968-8492,  FAX (626) 968-2048",www.homesteadmuseum.org,,,57908,The agency provides museum services for people of all ages in Los Angeles County.,91745,http://egis3.lacounty.gov/lms/?p=57908,publish,2013/06/01 11:50:56+00,,,6572877.56,1828806.707
29,34.123257,-118.4793,-118.4793001,34.12325697,55942,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Skirball Cultural Center,2701 N. Sepulveda Blvd.,,Los Angeles,CA,,"Service/Intake and Administration (310) 440-4500,  FAX (310) 440-4595",www.skirball.org,,,57909,The agency provides museum services for people of all ages in Los Angeles County.,90049,http://egis3.lacounty.gov/lms/?p=57909,publish,2013/06/01 11:50:56+00,,,6416608.315,1867581.814
30,34.049409,-118.239225,-118.2392251,34.04940897,55944,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Japanese American National Museum,369 E. 1st St.,,Los Angeles,CA,,"Service/Intake and Administration (213) 625-0414,  FAX (213) 625-1770, Volunteer Hotline Service/Intake (213) 830-5645, Volunteer Hotline Service/Intake (213) 830-5694",janm.org,,,57910,The agency provides museum services for people of all ages in Los Angeles County.,90012,http://egis3.lacounty.gov/lms/?p=57910,publish,2013/06/01 11:50:56+00,,,6489203.784,1840447.511
31,34.146735,-118.141022,-118.1410221,34.14673497,55946,211,,Arts and Recreation,Museums and Aquariums,,www.pacificasiamuseum.org,Pacific Asia Museum,46 N. Los Robles Ave.,,Pasadena,CA,"Wednesday through Sunday, 10:00am to 6:00pm. ","Service/Intake and Administration (626) 449-2742, Education Service/Intake (626) 449-2742 Ext.19, Tours Service/Intake (626) 449-2742 Ext.23",www.pacificasiamuseum.org,,,57911,The agency provides museum services for people of all ages in Los Angeles County.,91101,http://egis3.lacounty.gov/lms/?p=57911,publish,2013/06/01 11:50:56+00,,,6519001.309,1875809.972
32,33.785247,-118.173235,-118.1732351,33.78524697,55947,211,,Arts and Recreation,Museums and Aquariums,,www.lbfdmuseum.org,Long Beach Firefighter's Museum,1445 Peterson Ave.,,Long Beach,CA,,"Message/Answering Service (562) 599-3985,  Administrative (562) 570-8628",www.lbfdmuseum.org,,,57912,The agency provides museum services for people of all ages in Los Angeles County.,90813,http://egis3.lacounty.gov/lms/?p=57912,publish,2013/06/01 11:50:56+00,,,6509027.914,1744271.98
33,34.073508,-118.042046,-118.0420461,34.07350797,56434,211,,Arts and Recreation,Museums and Aquariums,,www.ci.el-monte.ca.us,"City Of El Monte Parks, Recreation, And Community Services Department - Santa Fe Historical Park",3575 Santa Anita Ave.,,El Monte,CA,"Monday through Sunday, Daylight Hours.  This park has no supervision. ",Service/Intake (626) 580-2200,www.ci.el-monte.ca.us,,,58371,The agency provides year-round supervised recreation and social activities for people of all ages at 8 park sites throughout the City of El Monte.,91731,http://egis3.lacounty.gov/lms/?p=58371,publish,2013/06/01 11:50:56+00,,,6548937.322,1849134.035
34,34.065662,-118.035773,-118.0357731,34.06566197,56440,211,,Arts and Recreation,Museums and Aquariums,,www.ci.el-monte.ca.us,"City Of El Monte Parks, Recreation, And Community Services Department - El Monte Historical Society Museum",3150 N. Tyler Ave.,,El Monte,CA,,El Monte Museum Service/Intake (626) 580-2232,www.ci.el-monte.ca.us,,,58376,The agency provides year-round supervised recreation and social activities for people of all ages at 8 park sites throughout the City of El Monte.,91731,http://egis3.lacounty.gov/lms/?p=58376,publish,2013/06/01 11:50:56+00,,,6550835.99,1846277.99
35,33.762323,-118.197099,-118.1970991,33.76232297,56508,211,,Arts and Recreation,Museums and Aquariums,,www.aquariumofpacific.org,Aquarium Of The Pacific,100 Aquarium Way,,Long Beach,CA,"Monday through Sunday, 9:00am to 6:00pm. ","Service/Intake and Administration (562) 590-3100,  FAX (562) 951-1629, Education Programs Service/Intake (562) 951-1630,  TDD (562) 591-3140",www.aquariumofpacific.org,,,58419,The Aquarium provides museum services for people of all ages in Los Angeles County.,90802,http://egis3.lacounty.gov/lms/?p=58419,publish,2013/06/01 11:50:56+00,,,6501759.804,1735942.656
36,34.014237,-118.285237,-118.2852371,34.01423697,56921,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,California Science Center,700 Exposition Park Dr.,,Los Angeles,CA,,"General Information Service/Intake (323) 724-3623, IMAX Theater Service/Intake (213) 744-7400, ExploraStore Service/Intake (213) 744-7422, Membership Service/Intake (213) 744-7504, Education Department Service/Intake and Administration (213) 744-7444",www.californiasciencecenter.org,,,58692,The Center provides museum services for the people of all ages in California.,90037,http://egis3.lacounty.gov/lms/?p=58692,publish,2013/06/01 11:50:56+00,,,6475229.445,1827684.135
37,34.053948,-118.401682,-118.4016821,34.05394797,56933,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Simon Wiesenthal Center - Museum Of Tolerance,9786 W. Pico Blvd.,,Los Angeles,CA,"Monday through Friday, 10:00am to 5:00pm; closes early on Friday, 10:00am to 3:00pm (November through March); closed on all Jewish and legal holidays. ","Reservations Service/Intake (310) 772-2505, General Information Service/Intake (310) 553-8403",www.wiesenthal.com,,,58698,"The Center provides public awareness and promotes social action against violations of human rights, bigotry, and hate crimes.",90035,http://egis3.lacounty.gov/lms/?p=58698,publish,2013/06/01 11:50:56+00,,,6439998.775,1842256.215
38,33.74304101,-118.4097004,-118.4097004,33.74304098,57439,LA County Department of Beaches and Harbors,1010799012,Arts and Recreation,Museums and Aquariums,,Los Angeles County Department of Beaches and Harbors,Point Vicente,Palos Verdes Dr. & Hawthorne Blvd.,,Palos Verdes,CA,"<p>The Interpretive Center open daily 10:00am to 5:00pm.</p> 
<p>The Lighthouse is open second Saturday of every month from 10:00am to 4:00pm. </p>","<p>Visitors Center: 424-526-7900 </p>
<p>Beaches and Harbors: 424-526-7777 </p>
",http://beaches.lacounty.gov ,"<a href=""http://www.parks.ca.gov""> California State Parks </a>",,59075,"<p>Facilities: Fishing, Interpretive Center, Lighthouse </p>
<p><a href=""http://www.rpvca.gov/Facilities/Facility/Details/Point-Vicente-Interpretive-Center-13""> Point San Vicente Interpretive Center</a></p>
<p><a href=""https://sites.google.com/site/pointvicentelighthouse/""> Point San Vicente Lighthouse </a></p>",90275,http://egis3.lacounty.gov/lms/?p=59075,publish,2017/07/20 08:08:01+00,info@bh.lacounty.gov,,6437108.806,1729120.479
39,33.88413301,-118.4125757,-118.4125758,33.88413298,57464,LA County Department of Beaches and Harbors,1010799008,Arts and Recreation,Museums and Aquariums,,Los Angeles County Department of Beaches and Harbors,"Manhattan Beach, Pier, Roundhouse Aquarium",400-500  The Strand,,Manhattan Beach,CA,,"Visitors Center: 424-526-7900 <br>
Beaches and Harbors: 424-526-7777 <br>",http://beaches.lacounty.gov,"<a href=""http://www.parks.ca.gov""> California State Parks </a>",,59083,"Facilities: Swimming, Surfing, Fishing Equipment Rentals and Bait Shop, Volleyball Courts, The Strand (ADA accessible walkway) Children's Play Area, Restrooms, Showers 
Beach Information: <a href=""http://www.citymb.info/""> Beach Map </a>
Beach Bike Path: <a href=""http://beaches.lacounty.gov/la-county-beach-bike-path/""> Map of Beach Bike Path (Marvin Braude Bike Trail) </a>
Aquarium: <a href=""http://roundhouseaquarium.org/""> Roundhouse Marine Studies Lab and Aquarium </a>
Parking Lot Maps: <a href=""http://www.citymb.info/index.aspx?page=703""> Directions and Maps </a>",90266,http://egis3.lacounty.gov/lms/?p=59083,publish,2017/07/19 14:38:25+00,info@bh.lacounty.gov,,6436445.375,1780470.789
40,33.839475,-118.195685,-118.1956851,33.83947497,58112,211,,Arts and Recreation,Museums and Aquariums,,www.longbeach.gov/park/,"City Of Long Beach Department Of Parks, Recreation And Marine - Rancho Los Cerritos",4600 Virginia Rd.,,Long Beach,CA,"SITE HOURS: Wednesday through Sunday, 1:00pm to 5:00pm; see website for schedule of events and tours ",Service/Intake (562) 570-1755,www.longbeach.gov/park/,,,59540,The Department provides recreational programs for people of all ages in Los Angeles County.,90807,http://egis3.lacounty.gov/lms/?p=59540,publish,2013/06/01 11:50:56+00,,,6502244.265,1764019.485
41,33.990766,-118.459921,-118.4599211,33.99076597,58545,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Social And Public Art Resource Center,685 Venice Blvd.,,Venice,CA,"Monday through Friday, 10:00am to 5:00pm; exhibitions on Saturtday, 11:00am to 5:00pm. ","FAX (310) 827-8717,  Service/Intake (310) 822-9560",www.sparcmurals.org,,,59981,"The is a fine arts center for the production, exhibition and preservation of public art.",90291,http://egis3.lacounty.gov/lms/?p=59981,publish,2013/06/01 11:50:56+00,,,6422252.791,1819338.866
42,34.017088,-118.283012,-118.2830121,34.01708797,58602,211,,Arts and Recreation,Museums and Aquariums,,www.caamuseum.org,California African American Museum,600 State Dr.,,Los Angeles,CA,,Service/Intake and Administration (213) 744-7432,www.caamuseum.org,,,60026,"The museum provides African American art, history and cultural awareness.",90037,http://egis3.lacounty.gov/lms/?p=60026,publish,2013/06/01 11:50:56+00,,,6475906.649,1828719.761
43,34.153006,-118.164714,-118.1647141,34.15300597,58604,211,,Arts and Recreation,Museums and Aquariums,,www.kidspacemuseum.org,Kidspace Children's Museum,480 N. Arroyo Blvd.,,Pasadena,CA,,"Service/Intake and Administration (626) 449-9144,  FAX (626) 449-9985",www.kidspacemuseum.org,,,60027,The museum provides educational exhibits for children.,91103,http://egis3.lacounty.gov/lms/?p=60027,publish,2013/06/01 11:50:56+00,,,6511836.567,1878103.002
44,34.06340072,-118.3591511,-118.3591511,34.06340069,58605,211,,Arts and Recreation,Museums and Aquariums,,www.lacma.org,LACMA (Los Angeles County Museum Of Art),5905 Wilshire Blvd.,,Los Angeles,CA,"Monday, Tuesday, Thursday, 12:00 noon to 8:00pm; Friday, 12:00 noon to 9:00pm; Saturday and Sunday, 11:00am to 8:00pm.  Open on all holidays except Thanksgiving Day and Christmas Day. ","Ticket Sales Service/Intake (323) 857-6010, Membership Service/Intake (323) 857-6151, Director Administrative (323) 857-6001",www.lacma.org,,,60028,"LACMA (the Los Angeles County Museum of Art) has been devoted to collecting works of art that span both history and geography, in addition to representing Los Angeles's uniquely diverse population.",90036,http://egis3.lacounty.gov/lms/?p=60028,publish,2014/02/20 16:19:45+00,,,6452893.84,1845647.465
45,34.375912,-118.525475,-118.5254751,34.37591197,58608,211,,Arts and Recreation,Museums and Aquariums,,www.hartmuseum.org/,William S. Hart Ranch And Museum,24151 Newhall Ave.,,Newhall,CA,"Spring and Summer Hours:  Wednesday through Sunday, 11:00am to 3:30pm; Fall and Winter Hours:  Wednesday through Friday, 10:00am to 1:00pm; and Saturday and Sunday, 11:00am to 4:00pm. ","FAX (661) 254-6499, Museum Information Service/Intake and Administration (661) 254-4584, Park Information Service/Intake and Administration (661) 259-0855",www.hartmuseum.org/,,,60029,The museum provides museum services and volunteer opportunities for people throughout Los Angeles County.,91321,http://egis3.lacounty.gov/lms/?p=60029,publish,2013/06/01 11:50:56+00,,,6403114.055,1959596.217
46,34.02591576,-118.3946227,-118.3946228,34.02591573,58609,211,,Arts and Recreation,Museums and Aquariums,,www.mjt.org,Museum Of Jurassic Technology,9341 Venice Blvd,,Culver City,CA,,"Service/Intake and Administration (310) 836-6131,  FAX (310) 287-2267",www.mjt.org,,,60030,The museum provides museum services and volunteer opportunities for people throughout Los Angeles County.,90232,http://egis3.lacounty.gov/lms/?p=60030,publish,2013/06/01 11:50:56+00,,,6442097.013,1832046.34
47,33.774573,-118.179766,-118.1797661,33.77457297,58611,211,,Arts and Recreation,Museums and Aquariums,,www.molaa.org,Museum Of Latin American Art,628 Alamitos Ave.,,Long Beach,CA,,"Service/Intake and Administration (562) 437-1689, Volunteers Service/Intake (562) 437-1689 Ext.119,  FAX (562) 216-4190",www.molaa.org,,,60031,The museum provides museum services and volunteer opportunities to people in Los Angeles County.,90802,http://egis3.lacounty.gov/lms/?p=60031,publish,2013/06/01 11:50:56+00,,,6507036.338,1740390.9
48,34.018418,-118.287483,-118.2874831,34.01841797,58612,211,,Arts and Recreation,Museums and Aquariums,,fisher.usc.edu,Usc Fisher Museum Of Art,823 Exposition Blvd., ,Los Angeles,CA,,"Service/Intake and Administration (213) 740-4561,  FAX (213) 740-7676",fisher.usc.edu,,,60032,The museum provides museum services for people of all ages in Los Angeles County.,90089,http://egis3.lacounty.gov/lms/?p=60032,publish,2013/06/01 11:50:56+00,,,6474553.15,1829207.618
49,33.763203,-118.166825,-118.1668251,33.76320297,58613,211,,Arts and Recreation,Museums and Aquariums,,www.lbma.org,Long Beach Museum Of Art,2300 E. Ocean Blvd.,,Long Beach,CA,,"Service/Intake (562) 439-2119,  FAX (562) 439-3587",www.lbma.org,,,60033,The museum provides museum services for people of all ages in Los Angeles County.,90803,http://egis3.lacounty.gov/lms/?p=60033,publish,2013/06/01 11:50:56+00,,,6510962.461,1736246.255
50,34.04184348,-118.5667718,-118.5667719,34.04184345,58614,211,,Arts and Recreation,Museums and Aquariums,,www.getty.edu,J. Paul Getty Museum - Getty Villa Malibu,17985 Pacific Coast Hwy,,Pacific Palisades,CA,"Monday and Wednesday through Friday, 10:00am to 5:00pm; closed New Year's Day, Independence Day, Thanksgiving and Christmas. ","Service/Intake (310) 440-7300,  TDD (310) 440-7305",www.getty.edu,,,60034,The museum provides museum services for people of all ages in Los Angeles County.,90272,http://egis3.lacounty.gov/lms/?p=60034,publish,2013/06/01 11:50:56+00,,,6389967.836,1838092.111
51,34.08693888,-118.4758812,-118.4758813,34.08693885,58615,211,,Arts and Recreation,Museums and Aquariums,,www.getty.edu,The Getty Center,1200 N Getty Center Dr,,Los Angeles,CA,,"Service/Intake and Administration (310) 440-7300,  TDD (310) 440-7305",www.getty.edu,,,60035,The museum provides museum services for people of all ages in Los Angeles County.,90049,http://egis3.lacounty.gov/lms/?p=60035,publish,2014/05/23 13:45:08+00,,,6417580.449,1854360.203
52,34.002041,-118.483832,-118.4838321,34.00204097,58617,211,,Arts and Recreation,Museums and Aquariums,,www.californiaheritagemuseum.org,California Heritage Museum,2612 Main St.,,Santa Monica,CA,"Wednesday through Sunday, 11:00am to 4:00pm. ","Service/Intake and Administration (310) 392-8537,  FAX (310) 396-0547",www.californiaheritagemuseum.org,,,60036,The museum provides museum services for people of all ages in Los Angeles County.,90405,http://egis3.lacounty.gov/lms/?p=60036,publish,2013/06/01 11:50:56+00,,,6415024.367,1823476.05
53,34.058939,-118.4439,-118.4439001,34.05893897,58618,211,,Arts and Recreation,Museums and Aquariums,,www.hammer.ucla.edu,Hammer Museum,10899 Wilshire Blvd.,,Los Angeles,CA,,"Service/Intake (310) 443-7000,  Administrative (310) 443-7020",www.hammer.ucla.edu,,,60037,The museum provides museum services for people of all ages in Los Angeles County.,90024,http://egis3.lacounty.gov/lms/?p=60037,publish,2013/06/01 11:50:56+00,,,6427218.825,1844126.307
54,33.866771,-118.218165,-118.2181651,33.86677097,58620,211,,Arts and Recreation,Museums and Aquariums,,dominguezrancho.org,Dominguez Rancho Adobe Museum,18127 S. Alameda St.,,Rancho Dominguez,CA,,"Service/Intake and Administration (310) 603-0088,  FAX (310) 603-0009",dominguezrancho.org,,,60038,The agency provides museum services for people throughout Los Angeles County.,90220,http://egis3.lacounty.gov/lms/?p=60038,publish,2013/06/01 11:50:56+00,,,6495439.058,1773967.215
